,title,price,link,location,sport
93,callaway golf bag - staff,85,https://charlottesville.craigslist.org/spo/d/charlottesville-callaway-golf-bag-staff/7786958455.html,Charlottesville,golf
94,nike men's golf shoes - 9.5,40,https://charlottesville.craigslist.org/spo/d/charlottesville-nike-mens-golf-shoes-95/7780157307.html,Charlottesville,golf
95,golf balls 100 lot,45,https://charlottesville.craigslist.org/spo/d/charlottesville-golf-balls-100-lot/7781204994.html,Charlottesville,golf
96,tennis rackets,25,https://charlottesville.craigslist.org/spo/d/charlottesville-tennis-rackets/7786891958.html,Charlottesville,tennis
97,taylormade burner bubble 2 woods,80,https://charlottesville.craigslist.org/spo/d/woodberry-forest-taylormade-burner/7786882290.html,Orange,golf
99,callaway paradym 3 hybrid - golf,150,https://charlottesville.craigslist.org/spo/d/oilville-callaway-paradym-hybrid-golf/7778890321.html,Rockville,golf
103,weight bench,35,https://charlottesville.craigslist.org/spo/d/keswick-weight-bench/7786468042.html,Zion Crossroads,exercise
104,dale earnhardt jr banner,25,https://charlottesville.craigslist.org/spo/d/troy-dale-earnhardt-jr-banner/7783136452.html,,banner
105,nascar busch series banner,25,https://charlottesville.craigslist.org/spo/d/troy-nascar-busch-series-banner/7783137113.html,,banner
106,dale jr banner,20,https://charlottesville.craigslist.org/spo/d/troy-dale-jr-banner/7783277318.html,,banner
107,pse cobra phaser ii compound bow w/arrows,50,https://charlottesville.craigslist.org/spo/d/charlottesville-pse-cobra-phaser-ii/7777900821.html,Charlottesville,bow
112,footjoy / greenjoy golf shoes,35,https://charlottesville.craigslist.org/spo/d/quinque-footjoy-greenjoy-golf-shoes/7785987654.html,Ruckersville,golf
113,porter tennis net,125,https://charlottesville.craigslist.org/spo/d/keswick-porter-tennis-net/7785853178.html,Keswick,tennis
114,bowflex max trainer m3,500,https://charlottesville.craigslist.org/spo/d/white-hall-bowflex-max-trainer-m3/7785810945.html,Charlottesville,exercise
115,bowflex max trainer m3,500,https://charlottesville.craigslist.org/spo/d/white-hall-bowflex-max-trainer-m3/7785809883.html,Charlottesville,exercise
120,brand new ski jacket,79,https://charlottesville.craigslist.org/spo/d/fredericksburg-brand-new-ski-jacket/7785087233.html,Fredericksburg,ski
122,ladies premium  golf package,150,https://charlottesville.craigslist.org/spo/d/quinque-ladies-premium-golf-package/7784726982.html,Ruckersville,golf
126,salt water fishing reel,35,https://charlottesville.craigslist.org/spo/d/charlottesville-salt-water-fishing-reel/7776423234.html,Charlottesville,reel
127,spinning reel,10,https://charlottesville.craigslist.org/spo/d/charlottesville-spinning-reel/7776425555.html,Charlottesville,reel
128,fly fishing reel - automatic,30,https://charlottesville.craigslist.org/spo/d/charlottesville-fly-fishing-reel/7776427894.html,Charlottesville,reel
129,fly fishing reel,15,https://charlottesville.craigslist.org/spo/d/charlottesville-fly-fishing-reel/7776430266.html,Charlottesville,reel
130,solo strength,450,https://charlottesville.craigslist.org/spo/d/staunton-solo-strength/7784667206.html,Staunton,exercise
131,isemann combo golf cart,75,https://charlottesville.craigslist.org/spo/d/nellysford-isemann-combo-golf-cart/7784507969.html,Albemarle,golf
132,nordic track treadmill,750,https://charlottesville.craigslist.org/spo/d/orange-nordic-track-treadmill/7784507796.html,Orange,exercise
136,yamaha electric golf cart,2400,https://charlottesville.craigslist.org/spo/d/montpelier-station-yamaha-electric-golf/7783973244.html,Gordonsville,golf
137,inversion table,50,https://charlottesville.craigslist.org/spo/d/crozet-inversion-table/7783950976.html,Crozet,table
138,titleist pro v1 and pro v1x golf balls $1ea,1,https://charlottesville.craigslist.org/spo/d/charlottesville-titleist-pro-v1-and-pro/7783875735.html,Charlottesville,golf
140,golf wedge 60 degree,1,https://charlottesville.craigslist.org/spo/d/charlottesville-golf-wedge-60-degree/7783790898.html,Albemarle,golf
143,ping hoofer golf bag,150,https://charlottesville.craigslist.org/spo/d/keswick-ping-hoofer-golf-bag/7783683632.html,,golf
145,lincoln kayak,999,https://charlottesville.craigslist.org/spo/d/charlottesville-lincoln-kayak/7783473917.html,,kayak
146,kayak and paddleboard rack,20,https://charlottesville.craigslist.org/spo/d/charlottesville-kayak-and-paddleboard/7783224312.html,Rio rd,kayak
148,scotty cameron golf putter,200,https://charlottesville.craigslist.org/spo/d/charlottesville-scotty-cameron-golf/7780157482.html,Charlottesville,golf
149,golf den caddy bag - desert mountain,25,https://charlottesville.craigslist.org/spo/d/charlottesville-golf-den-caddy-bag/7776210324.html,Charlottesville,golf
161,treadmill by nordictrack,600,https://charlottesville.craigslist.org/spo/d/charlottesville-treadmill-by-nordictrack/7782522869.html,Charlottesville,exercise
164,bass pro shops rod & reel,100,https://charlottesville.craigslist.org/spo/d/pratts-bass-pro-shops-rod-reel/7782209457.html,Madison,reel
171,elliptical machine,90,https://charlottesville.craigslist.org/spo/d/charlottesville-elliptical-machine/7781551101.html,Charlottesville,exercise
173,baseball pitch-back trainer,35,https://charlottesville.craigslist.org/spo/d/orange-baseball-pitch-back-trainer/7773255151.html,Orange,baseball
174,maxfli deluxe shag bag,45,https://charlottesville.craigslist.org/spo/d/culpeper-maxfli-deluxe-shag-bag/7772573952.html,Culpeper,bag
178,squat rack with lat pulldown bar,200,https://charlottesville.craigslist.org/spo/d/charlottesville-squat-rack-with-lat/7781002335.html,Charlottesville,exercise
179,callaway ft 5  driver,35,https://charlottesville.craigslist.org/spo/d/schuyler-callaway-ft-driver/7772024439.html,Schuyler,golf
180,fuji newest steel road bike low milage !,225,https://charlottesville.craigslist.org/spo/d/schuyler-fuji-newest-steel-road-bike/7772226638.html,Schuyler,bike
183,ping g2 driver,45,https://charlottesville.craigslist.org/spo/d/charlottesville-ping-g2-driver/7772146842.html,Charlottesville,golf
184,cobra s2 driver,65,https://charlottesville.craigslist.org/spo/d/charlottesville-cobra-s2-driver/7773416927.html,Charlottesville,golf
185,baseball stuff,0,https://charlottesville.craigslist.org/spo/d/quinque-baseball-stuff/7780862361.html,Ruckersville,baseball
187,bow,100,https://charlottesville.craigslist.org/spo/d/louisa-bow/7780825640.html,Louisa,bow
190,sage 40# recurve bow,80,https://charlottesville.craigslist.org/spo/d/brightwood-sage-40-recurve-bow/7780756008.html,Brightwood,bow
192,baseball equipment,0,https://charlottesville.craigslist.org/spo/d/charlottesville-baseball-equipment/7780474797.html,Charlottesville,baseball
193,baseball equipment/accessories,0,https://charlottesville.craigslist.org/spo/d/charlottesville-baseball-equipment/7780473141.html,Charlottesville,baseball
194,rei down sleeping bag,280,https://charlottesville.craigslist.org/spo/d/charlottesville-rei-down-sleeping-bag/7774050378.html,Charlottesville,bag
201,lynx golf irons,45,https://charlottesville.craigslist.org/spo/d/charlottesville-lynx-golf-irons/7775327926.html,Charlottesville,golf
202,momentus golf club,35,https://charlottesville.craigslist.org/spo/d/charlottesville-momentus-golf-club/7776210492.html,Charlottesville,golf
204,treadmill,999,https://charlottesville.craigslist.org/spo/d/free-union-treadmill/7779738750.html,Free Union,exercise
205,custom recurve bow,450,https://charlottesville.craigslist.org/spo/d/oakpark-custom-recurve-bow/7773153945.html,Madison,bow
206,cybex arc trainer 620a,800,https://charlottesville.craigslist.org/spo/d/troy-cybex-arc-trainer-620a/7779529110.html,Troy,exercise
207,odyssey golf putter,50,https://charlottesville.craigslist.org/spo/d/charlottesville-odyssey-golf-putter/7772143542.html,Charlottesville,golf
208,stationary exercise bike - bowflex c6,375,https://charlottesville.craigslist.org/spo/d/charlottesville-stationary-exercise/7779379615.html,Charlottesville,exercise
209,coffee table,30,https://charlottesville.craigslist.org/spo/d/charlottesville-coffee-table/7779223107.html,Foxcroft,table
211,venzo roof top bike rack,15,https://charlottesville.craigslist.org/spo/d/charlottesville-venzo-roof-top-bike-rack/7779220057.html,Foxcroft,bike
212,kids punching bag,20,https://charlottesville.craigslist.org/spo/d/charlottesville-kids-punching-bag/7779217940.html,Foxcroft,bag
213,rogue echo bike v2,700,https://charlottesville.craigslist.org/spo/d/white-hall-rogue-echo-bike-v2/7778998496.html,Crozet,bike
222,skechers men's golf shoes - 13,35,https://charlottesville.craigslist.org/spo/d/charlottesville-skechers-mens-golf/7769061021.html,Charlottesville,golf
223,bear white tail 2 bow,80,https://charlottesville.craigslist.org/spo/d/troy-bear-white-tail-bow/7778012004.html,Troy,bow
224,kid youth golf club set with bag,0,https://charlottesville.craigslist.org/spo/d/charlottesville-kid-youth-golf-club-set/7768581964.html,,golf
225,"youth catcher gear sets baseball, multiple sets",0,https://charlottesville.craigslist.org/spo/d/charlottesville-youth-catcher-gear-sets/7768614470.html,,baseball
226,"baseball boombah rolling bat bag, multiple available",0,https://charlottesville.craigslist.org/spo/d/charlottesville-baseball-boombah/7768868571.html,,baseball
232,golf cart (two),25,https://charlottesville.craigslist.org/spo/d/charlottesville-golf-cart-two/7776784469.html,Charlottesville,golf
234,bow and arrow,10,https://charlottesville.craigslist.org/spo/d/barboursville-bow-and-arrow/7776778450.html,Barboursville,bow
238,footjoy golf rain pants- l,40,https://charlottesville.craigslist.org/spo/d/charlottesville-footjoy-golf-rain-pants/7769060651.html,Charlottesville,golf
